PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,LastName,Title,OtherName,OtherNameExists,AgeBin,TicketPrefix,TicketNo,FareBin,CabinLevel,CabinQty,NoCabin
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,NA,S,Braund,Mr,NA,FALSE,7,A/5,21171,2,NA,NA,TRUE
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,Cumings,Mrs,Florence Briggs Thayer,TRUE,16,PC,17599,18,C,1,FALSE
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,NA,S,Heikkinen,Miss,NA,FALSE,9,STON/O2,3101282,6,NA,NA,TRUE
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S,Futrelle,Mrs,Lily May Peel,TRUE,14,NA,113803,17,C,1,FALSE
5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,NA,S,Allen,Mr,NA,FALSE,14,NA,373450,7,NA,NA,TRUE
6,0,3,"Moran, Mr. James",male,NA,0,0,330877,8.4583,NA,Q,Moran,Mr,NA,FALSE,NA,NA,330877,7,NA,NA,TRUE
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S,McCarthy,Mr,NA,FALSE,19,NA,17463,17,E,1,FALSE
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,NA,S,Palsson,Master,NA,FALSE,1,NA,349909,12,NA,NA,TRUE
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,NA,S,Johnson,Mrs,Elisabeth Vilhelmina Berg,TRUE,10,NA,347742,9,NA,NA,TRUE
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,NA,C,Nasser,Mrs,Adele Achem,TRUE,3,NA,237736,15,NA,NA,TRUE
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,Sandstrom,Miss,NA,FALSE,2,PP,9549,12,G,1,FALSE
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S,Bonnell,Miss,NA,FALSE,20,NA,113783,14,C,1,FALSE
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,NA,S,Saundercock,Mr,NA,FALSE,5,A/5,2151,7,NA,NA,TRUE
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,NA,S,Andersson,Mr,NA,FALSE,16,NA,347082,16,NA,NA,TRUE
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,NA,S,Vestrom,Miss,NA,FALSE,3,NA,350406,5,NA,NA,TRUE
16,1,2,"Hewlett, Mrs. (Mary D Kingcome)",female,55,0,0,248706,16,NA,S,Hewlett,Mrs,Mary D Kingcome,TRUE,19,NA,248706,11,NA,NA,TRUE
17,0,3,"Rice, Master. Eugene",male,2,4,1,382652,29.125,NA,Q,Rice,Master,NA,FALSE,1,NA,382652,15,NA,NA,TRUE
18,1,2,"Williams, Mr. Charles Eugene",male,NA,0,0,244373,13,NA,S,Williams,Mr,NA,FALSE,NA,NA,244373,10,NA,NA,TRUE
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,NA,S,Vander Planke,Mrs,Emelia Maria Vandemoortele,TRUE,12,NA,345763,12,NA,NA,TRUE
20,1,3,"Masselmani, Mrs. Fatima",female,NA,0,0,2649,7.225,NA,C,Masselmani,Mrs,NA,FALSE,NA,NA,2649,2,NA,NA,TRUE
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,NA,S,Fynney,Mr,NA,FALSE,14,NA,239865,14,NA,NA,TRUE
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,Beesley,Mr,NA,FALSE,14,NA,248698,10,D,1,FALSE
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,NA,Q,McGowan,Miss,NA,FALSE,3,NA,330923,6,NA,NA,TRUE
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,Sloper,Mr,NA,FALSE,11,NA,113788,16,A,1,FALSE
25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,NA,S,Palsson,Miss,NA,FALSE,2,NA,349909,12,NA,NA,TRUE
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,NA,S,Asplund,Mrs,Selma Augusta Emilia Johansson,TRUE,16,NA,347077,16,NA,NA,TRUE
27,0,3,"Emir, Mr. Farred Chehab",male,NA,0,0,2631,7.225,NA,C,Emir,Mr,NA,FALSE,NA,NA,2631,2,NA,NA,TRUE
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,Fortune,Mr,NA,FALSE,5,NA,19950,20,C,3,FALSE
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,NA,0,0,330959,7.8792,NA,Q,O'Dwyer,Miss,NA,FALSE,NA,NA,330959,5,NA,NA,TRUE
30,0,3,"Todoroff, Mr. Lalio",male,NA,0,0,349216,7.8958,NA,S,Todoroff,Mr,NA,FALSE,NA,NA,349216,5,NA,NA,TRUE
31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,NA,C,Uruchurtu,Don,NA,FALSE,16,PC,17601,15,NA,NA,TRUE
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,NA,1,0,PC 17569,146.5208,B78,C,Spencer,Mrs,Marie Eugenie,TRUE,NA,PC,17569,20,B,1,FALSE
33,1,3,"Glynn, Miss. Mary Agatha",female,NA,0,0,335677,7.75,NA,Q,Glynn,Miss,NA,FALSE,NA,NA,335677,4,NA,NA,TRUE
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,NA,S,Wheadon,Mr,NA,FALSE,20,CA,24579,9,NA,NA,TRUE
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,NA,C,Meyer,Mr,NA,FALSE,11,PC,17604,19,NA,NA,TRUE
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,NA,S,Holverson,Mr,NA,FALSE,17,NA,113789,17,NA,NA,TRUE
37,1,3,"Mamee, Mr. Hanna",male,NA,0,0,2677,7.2292,NA,C,Mamee,Mr,NA,FALSE,NA,NA,2677,2,NA,NA,TRUE
38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,NA,S,Cann,Mr,NA,FALSE,6,A/5,2152,7,NA,NA,TRUE
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,NA,S,Vander Planke,Miss,NA,FALSE,4,NA,345764,12,NA,NA,TRUE
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,NA,C,Nicola-Yarred,Miss,NA,FALSE,3,NA,2651,9,NA,NA,TRUE
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,NA,S,Ahlin,Mrs,Johanna Persdotter Larsson,TRUE,16,NA,7546,8,NA,NA,TRUE
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,NA,S,Turpin,Mrs,Dorothy Ann Wonnacott,TRUE,10,NA,11668,12,NA,NA,TRUE
43,0,3,"Kraeff, Mr. Theodor",male,NA,0,0,349253,7.8958,NA,C,Kraeff,Mr,NA,FALSE,NA,NA,349253,5,NA,NA,TRUE
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,NA,C,Laroche,Miss,NA,FALSE,1,SC/Paris,2123,17,NA,NA,TRUE
45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,NA,Q,Devaney,Miss,NA,FALSE,5,NA,330958,5,NA,NA,TRUE
46,0,3,"Rogers, Mr. William John",male,NA,0,0,S.C./A.4. 23567,8.05,NA,S,Rogers,Mr,NA,FALSE,NA,SC/A4,23567,7,NA,NA,TRUE
47,0,3,"Lennon, Mr. Denis",male,NA,1,0,370371,15.5,NA,Q,Lennon,Mr,NA,FALSE,NA,NA,370371,11,NA,NA,TRUE
48,1,3,"O'Driscoll, Miss. Bridget",female,NA,0,0,14311,7.75,NA,Q,O'Driscoll,Miss,NA,FALSE,NA,NA,14311,4,NA,NA,TRUE
49,0,3,"Samaan, Mr. Youssef",male,NA,2,0,2662,21.6792,NA,C,Samaan,Mr,NA,FALSE,NA,NA,2662,13,NA,NA,TRUE
